,Sentiment_score,Emotion,Episode,Season
monica,0.2298,Surprise,Episode-05-The One With Frank Jr.,Season-03
monica,0.9472,Surprise,Episode-06-The One With The Flashback,Season-03
monica,-0.5106,Sad,Episode-07-The One With the Race Car Bed,Season-03
monica,0.7783,Surprise,Episode-08-The One With The Giant Poking Device,Season-03
monica,-0.3612,Surprise,Episode-09-The One With The Football,Season-03
monica,0.3744,Surprise,Episode-10-The One Where Rachel Quits,Season-03
monica,0.7783,Surprise,Episode-11-The One Where Chandler Can’t Remember Which Sister,Season-03
monica,0.9509,Surprise,Episode-12-The One With All The Jealousy,Season-03
monica,0.9683,Surprise,Episode-13-The One Where Monica and Richard Are Friends,Season-03
monica,-0.5719,Surprise,Episode-14-The One With Phoebe’s Ex-Partner,Season-03
monica,0.9317,Surprise,Episode-15-The One Where Ross and Rachel Take A Break,Season-03
monica,0.8366,Surprise,Episode-16-The One The Morning After,Season-03
monica,-0.6475,Surprise,Episode-17-The One Without The Ski Trip,Season-03
monica,0.743,Fear,Episode-18-The One With The Hypnosis Tape,Season-03
monica,0.9313,Fear,Episode-19-The One With The Tiny T-shirt,Season-03
monica,0.1171,Fear,Episode-20-The One With The Dollhouse,Season-03
monica,0.9238,Surprise,Episode-21-The One With A Chick And A Duck,Season-03
monica,-0.1779,Fear,Episode-22-The One With The Screamer,Season-03
monica,0.8944,Surprise,Episode-23-The One With Ross's Thing,Season-03
monica,-0.6627,Surprise,Episode-24-The One With The Ultimate Fighting Champion,Season-03
monica,-0.1531,Fear,Episode-25-The One At The Beach,Season-03
monica,0.4939,Sad,Episode-01-The One With The Jellyfish,Season-04
monica,0.9524,Fear,Episode-02-The One With The Cat,Season-04
monica,0.9652,Surprise,Episode-03-The One With The ‘Cuffs,Season-04
monica,0.8176,Surprise,Episode-04-The One With The Ballroom Dancing,Season-04
monica,-0.8126,Surprise,Episode-05-The One With Joey's New Girlfriend,Season-04
monica,0.9509,Fear,Episode-06-The One With The Dirty Girl,Season-04
monica,0.4767,Surprise,Episode-07-The One Where Chandler Crosses a Line,Season-04
monica,0.9186,Surprise,Episode-08-The One With Chandler in a Box,Season-04
monica,0.9501,Fear,Episode-09-The One Where They’re Gonna PARTY!,Season-04
monica,0.9769,Fear,Episode-10-The One With The Girl From Poughkeepsie,Season-04
monica,0.868,Fear,Episode-11-The One With Phoebe's Uterus,Season-04
monica,-0.1531,Surprise,Episode-12-The One With The Embryos,Season-04
monica,0.918,Surprise,Episode-13-The One With Rachel’s Crush,Season-04
monica,0.9038,Surprise,Episode-14-The One With Joey’s Dirty Day,Season-04
monica,-0.1779,Fear,Episode-15-The One With All The Rugby,Season-04
monica,0.3612,Surprise,Episode-16-The One With The Fake Party,Season-04
monica,0.9807,Fear,Episode-17-The One With The Free p0rn,Season-04
monica,-0.4588,Sad,Episode-18-The One With Rachel’s New Dress,Season-04
monica,0.4588,Surprise,Episode-19-The One With All The Haste,Season-04
monica,-0.5106,Fear,Episode-20-The One With All the Wedding Dresses,Season-04
monica,0.836,Surprise,Episode-21-The One With The Invitation,Season-04
monica,0.9403,Surprise,Episode-22-The One With The Worst Best Man Ever,Season-04
monica,0.9672,Fear,Episode-23-04x24 - The One With Ross’s Wedding Parts I and II,Season-04
monica,0.9552,Surprise,Episode-01-The One After Ross Says Rachel,Season-05
monica,0.9638,Surprise,Episode-02-The One With All The Kissing,Season-05
monica,0.9781,Surprise,Episode-03-The One Hundredth,Season-05
monica,0.9627,Surprise,Episode-04-The One Where Phoebe Hates PBS,Season-05
monica,0.9753,Fear,Episode-05-The One With All the Kips,Season-05
monica,0.9588,Fear,Episode-06-The One With The Yeti,Season-05
monica,0.9517,Surprise,Episode-07-The One Where Ross Moves In,Season-05
monica,0.9709,Sad,Episode-08-The One With The Thanksgiving Flashbacks,Season-05
monica,0.8066,Surprise,Episode-09-The One With Ross's Sandwich,Season-05
monica,0.9205,Surprise,Episode-10-The One With The Inappropriate Sister,Season-05
monica,0.5719,Surprise,Episode-11-The One With All The Resolutions,Season-05
monica,0.5314,Surprise,Episode-12-The One With Chandler's Work Laugh,Season-05
monica,0.9409,Surprise,Episode-13-The One With Joey's Bag,Season-05
monica,0.8126,Surprise,Episode-14-The One Where Everyone Finds Out,Season-05
monica,0.8238,Surprise,Episode-15-The One With The Girl Who Hits Joey,Season-05
monica,0.128,Surprise,Episode-16-The One With A Cop,Season-05
monica,0.8399,Surprise,Episode-17-The One With Rachel's Inappropriate Kiss,Season-05
monica,0.8685,Surprise,Episode-18-The One Where Rachel Smokes,Season-05
monica,0.9739,Sad,Episode-19-The One Where Ross Can't Flirt,Season-05
monica,0.6658,Fear,Episode-20-The One With The Ride Along,Season-05
monica,0.8957,Sad,Episode-21-The One With The Ball,Season-05
monica,0.4767,Fear,Episode-22-The One With Joey's Big Break,Season-05
monica,0.9001,Fear,Episode-23-05x24 - The One In Vegas,Season-05
monica,-0.4588,Surprise,Episode-01-The One After Vegas,Season-06
monica,-0.7363,Sad,Episode-02-The One Where Ross Hugs Rachel,Season-06
monica,0.9623,Fear,Episode-03-The One With Ross’s Denial,Season-06
monica,0.6908,Surprise,Episode-04-The One Where Joey Loses His Insurance,Season-06
monica,0.9758,Fear,Episode-05-The One With Joey’s Porsche,Season-06
monica,0.4162,Surprise,Episode-06-The One The Last Night,Season-06
monica,0.8555,Surprise,Episode-07-The One Where Phoebe Runs,Season-06
monica,0.0314,Surprise,Episode-08-The One With Ross’s Teeth,Season-06
monica,0.936,Surprise,Episode-09-The One Where Ross Got High,Season-06
monica,0.8187,Surprise,Episode-10-The One With The Routinue,Season-06
monica,0.9762,Sad,Episode-11-The One With The Apothecary Table,Season-06
monica,-0.2763,Fear,Episode-12-The One With The Joke,Season-06
monica,-0.9866,Sad,Episode-13-The One With Rachel’s Sister,Season-06
monica,-0.9518,Fear,Episode-14-The One Where Chandler Can’t Cry,Season-06
monica,0.9666,Surprise,Episode-15-06x16 - The One That Could Have Been,Season-06
monica,0.9201,Surprise,Episode-17-The One With The Unagi,Season-06
monica,0.7579,Fear,Episode-18-The One Where Ross Dates A Student,Season-06
monica,0.991,Surprise,Episode-19-The One With Joey’s Fridge,Season-06
monica,-0.5267,Sad,Episode-20-The One With Mac and C.H.E.E.S.E.,Season-06
monica,0.8368,Surprise,Episode-21-The One Where Ross Meets Elizabeth’s Dad,Season-06
monica,0.9246,Sad,Episode-22-The One Where Paul’s The Man,Season-06
monica,0.0,Angry,Episode-23-The One With The Ring,Season-06
monica,0.9856,Surprise,Episode-24-06x25 - The One With The Proposal,Season-06
monica,0.9677,Fear,Episode-01-The One With Monica’s Thunder,Season-07
monica,0.9627,Fear,Episode-02-The One With Rachel’s Book,Season-07
monica,0.9603,Surprise,Episode-03-The One With Phoebe’s Cookies,Season-07
monica,0.8225,Surprise,Episode-04-The One With Rachel’s Assistant,Season-07
monica,0.959,Surprise,Episode-05-The One With The Engagement Picture,Season-07
monica,0.9599,Surprise,Episode-06-The One With The Nap Partners,Season-07
monica,-0.4432,Fear,Episode-07-The One With Ross’s Book,Season-07
monica,-0.34,Fear,Episode-08-The One Where Chandler Doesn’t Like Dogs,Season-07
